id,bookid,title,authors,average_rating,language_code,num_pages,author_name,author_gender,author_average_rating,birthplace,genre_1,genre_2,pages,publish_date,score
1140,3431,The Five People You Meet in Heaven,Mitch Albom,3.92,eng,196,Mitch Albom ,male,4.02,United States,Fiction,Inspirational,196,January 1st 2000,804
1159,3476,Icy Sparks,Gwyn Hyman Rubio,3.69,eng,320,Gwyn Hyman Rubio ,female,3.68,United States,Fiction,See top shelves…,320,January 1st 1998,1567
1160,3478,Message in a Bottle,Nicholas Sparks,3.96,eng,342,Nicholas Sparks ,male,4.07,United States,Romance,Fiction,342,April 1st 1998,1191
1162,3483,Special Topics in Calamity Physics,Marisha Pessl,3.71,eng,514,Marisha Pessl ,female,3.76,United States,Fiction,Mystery,514,2006,677
1165,3507,Twelve Sharp (Stephanie Plum  #12),Janet Evanovich,4.14,eng,310,Janet Evanovich ,male,4,United States,Mystery,Fiction,432,June 1st 2006,470
1184,3559,From Beirut to Jerusalem,Thomas L. Friedman,4.11,eng,541,Thomas L. Friedman ,male,3.72,United States,History,Nonfiction,608,June 1989,1277
1206,3636,The Giver,Lois Lowry,4.12,eng,208,Lois Lowry ,male,4.08,United States,Young Adult,Fiction,204,1993,2236
1213,3656,The Sea,John Banville,3.51,eng,195,John Banville ,male,3.57,Ireland,Fiction,Cultural,195,May 17th 2005,8322
1216,3659,The Book of Evidence,John Banville,3.71,eng,220,John Banville ,male,3.57,Ireland,Fiction,Cultural,220,1989,1147
1223,3682,A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,3.79,eng,403,Libba Bray ,female,3.84,United States,Young Adult,Fantasy,403,2003,1975
1226,3685,Black Beauty,Anna Sewell-Ian Andrew,3.95,eng,245,Anna Sewell ,female,3.96,United Kingdom,Classics,Fiction,245,November 24th 1877,618
1227,3686,Truth and Beauty,Ann Patchett,3.94,eng,257,Ann Patchett ,female,3.85,United States,Autobiography,Nonfiction,257,May 1st 2004,892
1235,3698,The Quiet American,Graham Greene-Robert  Stone,3.97,eng,180,Graham Greene ,male,3.89,United Kingdom,Fiction,Classics,180,1955,1035
1240,3711,White Teeth,Zadie Smith,3.76,eng,448,Zadie Smith ,female,3.66,United Kingdom,Fiction,Contemporary,448,April 1st 2000,27517
1288,3805,The Corrections,Jonathan Franzen,3.79,eng,653,Jonathan Franzen ,male,3.73,United States,Fiction,Contemporary,653,September 2001,40352
1297,3828,Death of an Expert Witness (Adam Dalgliesh #6),P.D. James,3.99,eng,306,P.D. James ,female,3.72,United Kingdom,Mystery,Fiction,306,1977,1214
1305,3836,Don Quixote,Miguel de Cervantes Saavedra-Roberto González Echevarría-John Rutherford-Ernani Ssó,3.87,eng,1023,Miguel de Cervantes Saavedra ,male,3.86,Spain,Classics,Fiction,1023,January 16th 1605,7987
1315,3853,Heat and Dust,Ruth Prawer Jhabvala,3.55,eng,190,Ruth Prawer Jhabvala ,female,3.55,Germany,Fiction,Cultural,190,1975,1119
1318,3867,The History of Love,Nicole Krauss,3.92,eng,255,Nicole Krauss ,female,3.81,United States,Fiction,Historical,255,May 17th 2005,2552
1319,3869,A Brief History of Time,Stephen Hawking,4.16,eng,212,Stephen Hawking ,male,4.13,United Kingdom,Science,Nonfiction,212,April 1st 1988,1813
1328,3895,The Barefoot Contessa Cookbook,Ina Garten-Melanie Acevedo,4.15,eng,256,Ina Garten ,female,4.16,United States,Food and Drink,Food and Drink,256,1999,2158
1349,3972,Olympos (Ilium  #2),Dan Simmons,3.94,eng,891,Dan Simmons ,male,4.07,United States,Science Fiction,Fiction,891,2005,290
1356,3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.15,eng,178,E.L. Konigsburg ,female,4.03,United States,Fiction,Childrens,178,1967,2325
1357,3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.17,eng,639,Michael Chabon ,male,3.89,United States,Fiction,Historical,639,September 19th 2000,8901
1364,4009,Nine Stories,J.D. Salinger,4.19,eng,198,J.D. Salinger ,male,3.83,United States,Short Stories,Fiction,198,April 6th 1953,4947
1380,4069,Man's Search for Meaning,Viktor E. Frankl-Harold S. Kushner-William J. Winslade-Isle Lasch,4.36,eng,165,Viktor E. Frankl ,male,4.35,Austria,Nonfiction,Psychology,165,1946,574
1395,4138,Naked,David Sedaris,4.09,eng,304,David Sedaris ,male,3.99,United States,Humor,Nonfiction,304,March 1997,4689
1434,4278,Medicus (Gaius Petreius Ruso  #1),Ruth Downie,3.73,eng,386,Ruth Downie ,female,3.91,"",Historical,Mystery,386,January 1st 2006,381
1455,4339,Dispatches,Michael Herr,4.23,eng,260,Michael Herr ,male,4.2,United States,Nonfiction,History,260,1977,5583
1461,4362,Night Draws Near: Iraq's People in the Shadow of America's War,Anthony Shadid,4.11,eng,507,Anthony Shadid ,male,3.74,United States,History,Nonfiction,507,2000,10713
1463,4370,Catfish and Mandala: A Two-Wheeled Voyage Through the Landscape and Memory of Vietnam,Andrew X. Pham,3.96,en-US,344,Andrew X. Pham ,male,3.97,Viet Nam,Travel,Nonfiction,344,1999,643
1465,4373,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,4.33,eng,238,Loung Ung ,female,4.31,Cambodia,Nonfiction,Autobiography,238,2000,970
1480,4406,East of Eden,John Steinbeck,4.37,eng,601,John Steinbeck ,male,3.92,United States,Classics,Fiction,601,September 1952,4737
1499,4477,Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande-Susanne Kuhlmann-Krieg,4.26,eng,270,Atul Gawande ,male,4.3,United States,Nonfiction,Science,270,2002,1610
1501,4485,Herr Lehmann,Sven Regener,3.86,ger,286,Sven Regener ,male,3.88,Germany,Fiction,European Literature,286,August 1st 2001,910
1518,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,eng,326,Jonathan Safran Foer ,male,3.97,United States,Fiction,Contemporary,326,April 2005,1555
1520,4591,Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,4.03,eng,344,Matt Ridley ,male,4,United Kingdom,Science,Nonfiction,344,May 30th 1999,8234
1539,4631,A Moveable Feast,Ernest Hemingway,4.04,eng,192,Ernest Hemingway ,male,3.83,United States,Classics,Nonfiction,192,1964,669
1570,4692,The Physician (Cole Family Trilogy  #1),Noah Gordon,4.37,eng,720,Noah Gordon ,male,4.14,United States,Historical,Fiction,720,August 7th 1986,1330
2962,9262,The Books in My Life,Henry Miller,3.81,eng,327,Henry Miller ,male,3.8,United States,Nonfiction,Writing,480,1952,937
1600,4806,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel-Neil Armstrong,3.96,eng,192,Dava Sobel ,female,3.86,United States,History,Nonfiction,192,1995,3167
1616,4866,How to Stop Worrying and Start Living,Dale Carnegie,4.11,eng,358,Dale Carnegie ,male,4.16,United States,Self Help,Nonfiction,358,1944,2459
1623,4898,Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,W. Chan Kim-Renée Mauborgne,3.89,eng,240,W. Chan Kim ,male,3.9,"",Business,Nonfiction,240,2004,872
1624,4900,Heart of Darkness,Joseph Conrad,3.42,eng,188,Joseph Conrad ,male,3.5,Ukraine,Classics,Fiction,188,1899,1266
1634,4921,Three Men in a Boat (Three Men  #1),Jerome K. Jerome,3.89,eng,185,Jerome K. Jerome ,male,3.89,United Kingdom,Classics,Fiction,185,1889,759
1639,4929,Kafka on the Shore,Haruki Murakami-Philip Gabriel,4.13,eng,467,Haruki Murakami ,male,3.95,Japan,Fiction,Magical Realism,467,2002,2136
1653,4948,The Very Hungry Caterpillar,Eric Carle,4.29,eng,26,Eric Carle ,male,4.21,United States,Childrens,Childrens,26,1969,4496
1656,4952,What Is the What,Dave Eggers,4.16,eng,475,Dave Eggers ,male,3.71,United States,Fiction,Cultural,475,2006,22982
1657,4953,A Heartbreaking Work of Staggering Genius,Dave Eggers,3.68,eng,485,Dave Eggers ,male,3.71,United States,Fiction,Contemporary,485,February 17th 2000,10057
1663,4965,Year of Wonders,Geraldine Brooks,4.01,eng,358,Geraldine Brooks ,female,3.93,Australia,Historical,Fiction,358,2001,3199
1668,4980,Breakfast of Champions,Kurt Vonnegut,4.08,eng,303,Kurt Vonnegut ,male,4.06,United States,Fiction,Classics,303,1973,6621
1669,4981,Slaughterhouse-Five,Kurt Vonnegut,4.07,eng,275,Kurt Vonnegut ,male,4.06,United States,Classics,Fiction,275,1969,854
1677,4989,The Red Tent,Anita Diamant,4.17,eng,336,Anita Diamant ,female,4.09,United States,Historical,Fiction,336,1997,1537
1689,5043,The Pillars of the Earth (Kingsbridge  #1),Ken Follett,4.31,eng,973,Ken Follett ,male,4.19,United Kingdom,Historical,Fiction,973,October 1989,838
1703,5084,My Life in France,Julia Child-Alex Prud'Homme,4.17,eng,302,Julia Child ,female,4.25,United States,Autobiography,Nonfiction,302,2006,836
1712,5107,The Catcher in the Rye,J.D. Salinger,3.80,eng,277,J.D. Salinger ,male,3.83,United States,Classics,Fiction,277,July 16th 1951,2457
1719,5129,Brave New World,Aldous Huxley-Felisberto Albuquerque,3.98,eng,288,Aldous Huxley ,male,3.99,United Kingdom,Classics,Fiction,288,1932,7569
1720,5130,Island,Aldous Huxley,3.85,eng,354,Aldous Huxley ,male,3.99,United Kingdom,Fiction,Classics,354,1962,8460
1726,5137,The Flame Trees of Thika: Memories of an African Childhood,Elspeth Huxley,4.12,en-GB,281,Elspeth Huxley ,female,4.07,United Kingdom,Cultural,Autobiography,281,1959,2454
1727,5139,The Devil Wears Prada (The Devil Wears Prada  #1),Lauren Weisberger,3.73,eng,432,Lauren Weisberger ,female,3.64,United States,Womens Fiction,Fiction,432,2003,699
1729,5148,A Separate Peace,John Knowles,3.57,eng,208,John Knowles ,male,3.57,United States,Classics,Fiction,208,1959,1499
1731,5157,Black and Blue,Anna Quindlen,3.88,eng,288,Anna Quindlen ,female,4.19,United States,Fiction,Contemporary,288,1998,6217
1732,5158,A Virtuous Woman,Kaye Gibbons,3.68,eng,165,Kaye Gibbons ,female,3.76,United States,Fiction,Contemporary,165,April 30th 1989,1601
1733,5159,Here on Earth,Alice Hoffman,3.69,eng,336,Alice Hoffman ,male,3.81,United States,Fiction,Romance,336,1997,1799
1735,5161,The Deep End of the Ocean (Cappadora Family  #1),Jacquelyn Mitchard,3.86,eng,464,Jacquelyn Mitchard ,female,3.77,United States,Fiction,Contemporary,464,1996,945
1737,5167,Cane River,Lalita Tademy,4.05,eng,522,Lalita Tademy ,female,4.04,United States,Historical,Fiction,522,January 1st 2001,630
1738,5168,Where the Heart Is,Billie Letts,4.01,eng,376,Billie Letts ,male,3.98,United States,Fiction,Womens Fiction,376,January 1st 1995,1247
1740,5171,Drowning Ruth,Christina Schwarz,3.74,eng,368,Christina Schwarz ,male,3.72,United States,Fiction,Mystery,338,2000,1579
1741,5174,Fall on Your Knees,Ann-Marie MacDonald,3.96,eng,672,Ann-Marie MacDonald ,female,3.94,Germany,Fiction,Historical,508,1996,755
1742,5175,What Looks Like Crazy on an Ordinary Day (Idlewild  #1),Pearl Cleage,3.72,eng,244,Pearl Cleage ,female,3.82,United States,Fiction,Cultural,244,1997,3151
1744,5179,Mother of Pearl,Melinda Haynes,3.68,eng,465,Melinda Haynes ,female,3.67,United States,Fiction,Historical,465,June 2nd 1999,1792
1745,5180,The Rapture of Canaan,Sheri Reynolds,3.81,eng,320,Sheri Reynolds ,female,3.8,United States,Fiction,Religion,320,1995,4337
1746,5182,Songs in Ordinary Time,Mary McGarry Morris,3.70,eng,740,Mary McGarry Morris ,female,3.67,United States,Fiction,Historical,740,August 1995,2053
1747,5186,Breath  Eyes  Memory,Edwidge Danticat,3.87,eng,234,Edwidge Danticat ,female,3.92,Haiti,Fiction,Historical,234,1994,3619
1749,5190,Open House,Elizabeth Berg,3.70,eng,272,Elizabeth Berg ,female,3.73,United States,Fiction,Womens Fiction,272,2000,4591
1750,5191,The Pilot's Wife,Anita Shreve,3.52,eng,304,Anita Shreve ,female,3.54,Massachusetts,Fiction,Womens Fiction,304,1998,10693
1752,5196,Tara Road,Maeve Binchy,3.90,eng,648,Maeve Binchy ,female,3.87,Ireland,Fiction,Womens Fiction,648,1998,4659
1753,5197,A Lesson Before Dying,Ernest J. Gaines,3.94,eng,256,Ernest J. Gaines ,male,3.99,United States,Fiction,Classics,256,December 1st 1993,6573
1754,5198,Paradise,Toni Morrison,3.79,eng,318,Toni Morrison ,female,3.88,United States,Fiction,Classics,318,1997,2511
1757,5203,She's Come Undone,Wally Lamb,3.86,eng,465,Wally Lamb ,male,3.97,United States,Fiction,Contemporary,465,August 24th 1992,3059
1758,5204,We Were the Mulvaneys,Joyce Carol Oates,3.72,eng,454,Joyce Carol Oates ,female,3.69,United States,Fiction,Contemporary,454,September 1996,7684
1759,5205,A Map of the World,Jane Hamilton-Frank  Muller-C.J. Critt,3.80,en-GB,400,Jane Hamilton ,female,3.77,United States,Fiction,Contemporary,400,May 1st 1992,4812
1642,4934,The Brothers Karamazov,Fyodor Dostoyevsky-Richard Pevear-Larissa Volokhonsky,4.32,eng,796,Fyodor Dostoyevsky ,male,4.18,Russia,Classics,Fiction,796,1880,3417
1764,5212,The Best Way to Play: A Little Bill Book,Bill Cosby-Varnette P. Honeywood-Varnette Honeywood,3.48,eng,40,Bill Cosby ,male,3.68,United States,Childrens,Fiction,40,January 1st 1997,232
1777,5240,Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,4.12,eng,304,Dinesh D'Souza ,male,4.08,India,Biography,History,304,1997,1005
1785,5294,Oscar Wilde,Richard Ellmann,4.24,eng,736,Richard Ellmann ,male,4.19,United States,Biography,Nonfiction,736,1987,9412
1787,5297,The Picture of Dorian Gray,Oscar Wilde-Jeffrey Eugenides,4.07,eng,367,Oscar Wilde ,male,4.09,Ireland,Classics,Fiction,367,June 20th 1890,2467
1790,5306,Travels with Charley: In Search of America,John Steinbeck,4.08,eng,214,John Steinbeck ,male,3.92,United States,Nonfiction,Travel,214,1962,1015
1793,5309,The Life and Times of Scrooge McDuck,Don Rosa,4.66,eng,266,Don Rosa ,male,4.56,United States,Sequential Art,Sequential Art,266,1996,528
1797,5319,A Christmas Story,Jean Shepherd,4.09,eng,131,Jean Shepherd ,male,4.03,United States,Holiday,Humor,131,January 1st 1983,359
1807,5345,The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.81,eng,360,John Grisham ,male,3.89,United States,Nonfiction,Crime,360,2006,3103
1820,5359,The Client,John Grisham,3.99,eng,483,John Grisham ,male,3.89,United States,Fiction,Mystery,483,March 1st 1993,2954
1821,5360,A Painted House,John Grisham,3.69,eng,384,John Grisham ,male,3.89,United States,Fiction,Mystery,384,2001,479
1824,5367,The Great Book of Amber (The Chronicles of Amber  #1-10),Roger Zelazny,4.30,eng,1258,Roger Zelazny ,male,4.07,United States,Fantasy,Fiction,1258,1043,
1825,5368,Forever Amber,Kathleen Winsor,3.99,eng,972,Kathleen Winsor ,female,3.98,United States,Historical,Fiction,972,1944,500
1836,5404,Here I Stand: A Life of Martin Luther,Roland H. Bainton,4.08,eng,336,Roland H. Bainton ,male,4.06,United Kingdom,Biography,History,336,1950,3050
1854,5451,Sisterhood of the Traveling Pants / Second Summer of the Sisterhood / Girls in Pants (Sisterhood #1-3),Ann Brashares,4.02,eng,1040,Ann Brashares ,female,3.77,United States,Young Adult,Fiction,1040,2006,3806
1857,5454,The Second Summer of the Sisterhood (Sisterhood  #2),Ann Brashares,3.79,eng,373,Ann Brashares ,female,3.77,United States,Young Adult,Fiction,448,April 22nd 2003,7934
1880,5509,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Miep Gies-Alison Leslie Gold,4.28,eng,252,Miep Gies ,male,4.27,Austria,Nonfiction,History,252,January 1st 1987,1038
1885,5526,Dear John,Nicholas Sparks,4.03,eng,276,Nicholas Sparks ,male,4.07,United States,Romance,Fiction,276,2006,3745
1886,5527,All the King's Men,Robert Penn Warren,4.09,eng,439,Robert Penn Warren ,male,4.08,United States,Fiction,Classics,439,1946,2681
1895,5552,QED: The Strange Theory of Light and Matter,Richard Feynman,4.24,eng,158,Richard Feynman ,male,4.26,United States,Science,Science,158,1985,3787
2052,6150,Cry  the Beloved Country,Alan Paton,3.89,eng,316,Alan Paton ,male,3.89,South Africa,Fiction,Classics,316,1948,1351
1903,5587,Power  Faith  and Fantasy: America in the Middle East 1776 to the Present,Michael B. Oren,3.98,eng,832,Michael B. Oren ,male,4.09,United States,History,Nonfiction,832,January 2007,788
1913,5659,The Wind in the Willows,Kenneth Grahame-Gillian Avery,3.99,eng,256,Kenneth Grahame ,male,3.99,United Kingdom,Classics,Fiction,240,October 8th 1908,304
1939,5752,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.08,eng,528,Steven Pinker ,male,4.03,Canada,Psychology,Science,528,2002,4682
1942,5755,The Language Instinct: How the Mind Creates Language,Steven Pinker,4.05,eng,448,Steven Pinker ,male,4.03,Canada,Nonfiction,Science,448,January 1st 1994,659
1951,5797,Vanity Fair,William Makepeace Thackeray-John Carey,3.78,eng,867,William Makepeace Thackeray ,male,3.77,India,Classics,Fiction,912,1848,1571
1964,5826,Bel Canto,Ann Patchett,3.93,eng,352,Ann Patchett ,female,3.85,United States,Fiction,Contemporary,352,May 22nd 2001,960
1968,5845,A Bend in the River,V.S. Naipaul,3.77,eng,326,V.S. Naipaul ,male,3.7,Trinidad and Tobago,Cultural,Classics,326,1979,1106
1970,5849,A House for Mr Biswas,V.S. Naipaul,3.82,eng,623,V.S. Naipaul ,male,3.7,Trinidad and Tobago,Fiction,Classics,623,1961,3280
1977,5872,Regeneration (Regeneration  #1),Pat Barker,4.03,en-GB,256,Pat Barker ,male,3.96,United Kingdom,Historical,Fiction,256,1991,3151
1987,5886,The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1),Rob Kidd-Jean-Paul Orpinas,3.83,en-US,135,Rob Kidd ,female,3.99,Venezuela,Adventure,Fantasy,135,2006,1320
1988,5890,The Woman in White,Wilkie Collins-Matthew Sweet,3.99,eng,672,Wilkie Collins ,male,3.92,United Kingdom,Classics,Mystery,672,November 26th 1859,5252
1994,5907,The Hobbit or There and Back Again,J.R.R. Tolkien,4.26,eng,366,J.R.R. Tolkien ,male,4.32,South Africa,Fantasy,Classics,366,September 21st 1937,7451
2000,5931,The Essential Neruda: Selected Poems,Pablo Neruda-Mark Eisner-Lawrence Ferlinghetti-Robert Hass-Stephen Mitchell-Alastair Reid-Forrest Gander-Jack Hirschman-Stephen Kessler-John Felstiner,4.46,eng,200,Pablo Neruda ,male,4.32,Chile,Poetry,Classics,200,January 1st 1979,4261
2029,6058,The Road Back,Erich Maria Remarque,4.31,eng,352,Erich Maria Remarque ,male,4.04,Germany,Classics,Fiction,352,1931,475
2047,6138,The Moonstone,Wilkie Collins-Carolyn G. Heilbrun,3.91,eng,528,Wilkie Collins ,male,3.92,United Kingdom,Classics,Mystery,528,August 1st 1868,1635
2051,6149,Beloved,Toni Morrison,3.81,eng,324,Toni Morrison ,female,3.88,United States,Fiction,Classics,324,September 2nd 1987,638
2063,6174,Survival in Auschwitz,Primo Levi-Stuart J. Woolf-Philip Roth,4.31,eng,187,Primo Levi ,male,4.31,Italy,Nonfiction,History,187,1947,559
2068,6181,If This Is a Man / The Truce,Primo Levi-Stuart J. Woolf-Paul Bailey,4.55,en-GB,419,Primo Levi ,male,4.31,Italy,Nonfiction,History,419,1947,1933
2071,6185,Wuthering Heights,Emily Brontë-Richard J. Dunn-David Timson-Charlotte Brontë-Ruth Golding-Robert Heindel,3.84,eng,464,Emily Brontë ,female,3.84,United Kingdom,Classics,Fiction,464,December 1847,737
2072,6192,Disgrace,J.M. Coetzee,3.84,eng,220,J.M. Coetzee ,male,3.76,South Africa,Fiction,Cultural,220,1999,472
2093,6273,The Collected Poems of Wilfred Owen,Wilfred Owen-Cecil Day-Lewis,4.33,eng,192,Wilfred Owen ,male,4.22,United Kingdom,Poetry,War,192,1918,2981
2095,6288,The Road,Cormac McCarthy,3.96,eng,241,Cormac McCarthy ,male,4.01,United States,Fiction,Science Fiction,241,2006,561
2099,6294,Howl's Moving Castle (Howl's Moving Castle  #1),Diana Wynne Jones,4.30,eng,329,Diana Wynne Jones ,female,4.1,United Kingdom,Fantasy,Young Adult,329,1986,930
2100,6295,Howl and Other Poems,Allen Ginsberg-William Carlos Williams,4.13,eng,56,Allen Ginsberg ,male,4.05,United States,Poetry,Classics,56,1956,2361
2108,6319,The BFG,Roald Dahl-Quentin Blake,4.22,eng,199,Roald Dahl ,male,4.12,United Kingdom,Childrens,Fantasy,195,1982,6397
2117,6334,Never Let Me Go,Kazuo Ishiguro,3.81,eng,288,Kazuo Ishiguro ,male,3.83,Japan,Fiction,Science Fiction,288,April 5th 2005,1323
2146,6462,His Excellency: George Washington,Joseph J. Ellis,3.92,eng,320,Joseph J. Ellis ,male,3.93,United States,History,Biography,320,2004,1090
2154,6514,The Bell Jar,Sylvia Plath,3.99,eng,294,Sylvia Plath ,female,4.03,United States,Classics,Fiction,216,January 1963,1816
2163,6534,Postmortem (Kay Scarpetta  #1),Patricia Daniels Cornwell-Patricia Cornwell,4.02,eng,342,Patricia Cornwell ,female,3.88,United States,Mystery,Mystery,293,1990,3321
2165,6537,From Potter's Field (Kay Scarpetta  #6),Patricia Cornwell,4.04,eng,383,Patricia Cornwell ,female,3.88,United States,Mystery,Fiction,416,1995,409
2166,6538,Portrait of a Killer: Jack the Ripper - Case Closed,Patricia Cornwell,3.44,eng,383,Patricia Cornwell ,female,3.88,United States,Nonfiction,Crime,383,2002,14598
2193,6614,Lipstick Jungle,Candace Bushnell,3.40,eng,496,Candace Bushnell ,male,3.34,United States,Womens Fiction,Fiction,496,2005,1403
2204,6656,The Divine Comedy,Dante Alighieri-Allen Mandelbaum-Eugenio Montale,4.07,eng,798,Dante Alighieri ,male,4.02,Italy,Classics,Poetry,798,1308,1592
2205,6657,Divine,Karen Kingsbury,4.28,eng,355,Karen Kingsbury ,female,4.33,"",Christian Fiction,Christian,355,March 20th 2006,1394
2209,6667,Boy: Tales of Childhood (Roald Dahl's Autobiography  #1),Roald Dahl-Quentin Blake,4.10,eng,176,Roald Dahl ,male,4.12,United Kingdom,Nonfiction,Biography,176,1984,847
2217,6690,Danny the Champion of the World,Roald Dahl-Quentin Blake,4.08,eng,224,Roald Dahl ,male,4.12,United Kingdom,Childrens,Fiction,224,1975,3173
2223,6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.13,eng,229,Eckhart Tolle ,male,4.12,Germany,Nonfiction,Self Help,229,1997,4610
2232,6759,Infinite Jest,David Foster Wallace,4.30,en-US,1088,David Foster Wallace ,male,4.14,United States,Fiction,Classics,1088,February 1st 1996,1965
2245,6853,One for the Money (Stephanie Plum  #1),Janet Evanovich,4.04,eng,320,Janet Evanovich ,male,4,United States,Mystery,Fiction,320,August 26th 1994,3071
2251,6862,Amsterdam,Ian McEwan,3.42,eng,208,Ian McEwan ,male,3.73,United Kingdom,Fiction,Contemporary,193,December 1st 1998,10918
2254,6867,Atonement,Ian McEwan,3.89,eng,351,Ian McEwan ,male,3.73,United Kingdom,Fiction,Historical,351,2001,1466
2264,6900,Tuesdays with Morrie,Mitch Albom-Saulius Dagys,4.09,eng,210,Mitch Albom ,male,4.02,United States,Nonfiction,Autobiography,210,1997,2738
2276,6952,Like Water for Chocolate,Laura Esquivel-Thomas  Christensen-Carol Christensen,3.94,eng,224,Laura Esquivel ,female,3.92,Mexico,Fiction,Romance,224,1989,1325
2310,7042,The Tale of Genji,Murasaki Shikibu-Royall Tyler,3.71,eng,1182,Murasaki Shikibu ,female,3.76,Japan,Classics,Fiction,1182,1008,1797
2322,7061,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,3.77,eng,235,Alexander McCall Smith ,male,3.87,Zimbabwe,Mystery,Fiction,233,1998,944
2325,7069,The World According to Garp,John Irving,4.08,eng,610,John Irving ,male,3.99,United States,Fiction,Classics,610,1978,473
2337,7093,Never Call Retreat,Bruce Catton-E.B. Long,4.33,eng,558,Bruce Catton ,male,4.3,United States,History,Military History,558,1965,711
2344,7105,Three Soldiers,John Dos Passos,3.59,eng,362,John Dos Passos ,male,3.88,United States,Fiction,Historical,362,1921,833
2365,7186,La Dame aux Camélias,Alexandre Dumas fils-David Coward,3.99,eng,256,Alexandre Dumas fils ,male,3.98,France,Classics,Fiction,256,1848,1718
2368,7199,The Way the Crow Flies,Ann-Marie MacDonald,4.09,en-US,848,Ann-Marie MacDonald ,female,3.94,Germany,Fiction,Historical,848,2003,665
2371,7214,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,3.91,eng,243,Donald Miller ,male,3.97,United States,Christian,Nonfiction,243,2003,796
2377,7244,The Poisonwood Bible,Barbara Kingsolver,4.05,eng,546,Barbara Kingsolver ,female,4,United States,Fiction,Historical,546,September 24th 1998,3732
2379,7252,How to Make Love Like a Porn Star: A Cautionary Tale,Jenna Jameson-Neil Strauss,3.75,eng,592,Jenna Jameson ,female,3.74,United States,Nonfiction,Biography,592,2004,19355
2409,7354,The Shipping News,Annie Proulx,3.85,eng,337,Annie Proulx ,female,3.88,United States,Fiction,Contemporary,337,1993,1185
2427,7432,Pardonable Lies (Maisie Dobbs  #3),Jacqueline Winspear,4.09,eng,359,Jacqueline Winspear ,female,4.01,United Kingdom,Mystery,Historical,359,January 1st 2005,7852
2430,7437,Naked Lunch,William S. Burroughs-James Grauerholz-Barry Miles,3.44,eng,289,William S. Burroughs ,male,3.69,United States,Fiction,Classics,289,1959,826
2433,7442,The Electric Kool-Aid Acid Test,Tom Wolfe,3.92,eng,416,Tom Wolfe ,male,3.86,United States,Nonfiction,History,416,1968,4581
2435,7445,The Glass Castle,Jeannette Walls,4.26,eng,288,Jeannette Walls ,female,4.2,United States,Nonfiction,Autobiography,288,March 2005,4190
2447,7505,Beach Girls,Luanne Rice,4.06,en-US,448,Luanne Rice ,female,3.85,United States,Fiction,Romance,448,2004,1539
2454,7529,I Love Everybody (and Other Atrocious Lies),Laurie Notaro,3.97,en-US,228,Laurie Notaro ,male,3.85,United States,Humor,Nonfiction,228,January 1st 2004,275
2458,7533,We Thought You Would Be Prettier: True Tales of the Dorkiest Girl Alive,Laurie Notaro,3.92,eng,223,Laurie Notaro ,male,3.85,United States,Humor,Nonfiction,223,January 1st 2005,441
2929,9082,In a Dry Season (Inspector Banks  #10),Peter Robinson,4.12,eng,480,Peter Robinson ,male,3.94,United Kingdom,Mystery,Mystery,480,January 1st 1999,533
2462,7546,Cesar's Way: The Natural  Everyday Guide to Understanding and Correcting Common Dog Problems,Cesar Millan-Melissa Jo Peltier,3.74,eng,270,Cesar Millan ,male,3.73,Mexico,Nonfiction,Animals,270,March 31st 1997,1507
2470,7572,Even Cowgirls Get the Blues,Tom Robbins,3.75,eng,366,Tom Robbins ,male,3.97,United States,Fiction,Humor,365,April 1976,902
2473,7579,Awakening the Buddha Within: Eight Steps to Enlightenment,Lama Surya Das,4.20,en-US,432,Lama Surya Das ,male,4.16,United States,Religion,Spirituality,432,1997,1333
2480,7588,A Portrait of the Artist as a Young Man,James Joyce-Seamus Deane,3.61,eng,329,James Joyce ,male,3.74,Ireland,Classics,Fiction,329,1916,66258
2490,7603,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,3.60,eng,356,Azar Nafisi ,male,3.62,Iran,Nonfiction,Autobiography,356,March 25th 2003,866
2502,7624,Lord of the Flies,William Golding,3.67,eng,182,William Golding ,male,3.66,United Kingdom,Classics,Fiction,182,September 17th 1954,3495
2515,7669,Timeline,Michael Crichton,3.84,eng,489,Michael Crichton ,male,3.82,United States,Fiction,Science Fiction,489,November 16th 1999,994
